icd11Code,icd11Chapter,icd11Title,icd10Code,icd10Chapter,icd10Title
6A71.4,06,"Recurrent depressive disorder, current episode severe, with psychotic symptoms",F33.3,V,"Recurrent depressive disorder, current episode severe with psychotic symptoms"
6A71.5,06,"Recurrent depressive disorder, current episode, unspecified severity",F33,V,Recurrent depressive disorder
6A71.6,06,"Recurrent depressive disorder, currently in partial remission",F33,V,Recurrent depressive disorder
6A71.7,06,"Recurrent depressive disorder, currently in full remission",F33.4,V,"Recurrent depressive disorder, currently in remission"
6A71.Y,06,Other specified recurrent depressive disorder,F33.8,V,Other recurrent depressive disorders
6A71.Z,06,"Recurrent depressive disorder, unspecified",F33,V,Recurrent depressive disorder
6A72,06,Dysthymic disorder,F34.1,V,Dysthymia
6A73,06,Mixed depressive and anxiety disorder,F41.2,V,Mixed anxiety and depressive disorder
6A7Y,06,Other specified depressive disorders,F32.9,V,"Depressive episode, unspecified"
6A7Z,06,"Depressive disorders, unspecified",F32.9,V,"Depressive episode, unspecified"
6A80,06,Symptomatic and course presentations for mood episodes in mood disorders,F30.9,V,"Manic episode, unspecified"
6A80.0,06,Prominent anxiety symptoms in mood episodes,F30.9,V,"Manic episode, unspecified"
6A80.1,06,Panic attacks in mood episodes,F30.9,V,"Manic episode, unspecified"
6A80.2,06,Current depressive episode persistent,F30.9,V,"Manic episode, unspecified"
6A80.3,06,Current depressive episode with melancholia,F30.9,V,"Manic episode, unspecified"
6A80.4,06,Seasonal pattern of mood episode onset,F30.9,V,"Manic episode, unspecified"
6A80.5,06,Rapid cycling,F30.9,V,"Manic episode, unspecified"
6A8Y,06,Other specified mood disorders,F30.9,V,"Manic episode, unspecified"
6A8Z,06,"Mood disorders, unspecified",F30.9,V,"Manic episode, unspecified"
6B00,06,Generalised anxiety disorder,F41.1,V,Generalized anxiety disorder
6B01,06,Panic disorder,F41.0,V,Panic disorder [episodic paroxysmal anxiety]
6B02,06,Agoraphobia,F40.0,V,Agoraphobia
6B03,06,Specific phobia,F40.2,V,Specific (isolated) phobias
6B04,06,Social anxiety disorder,F40.1,V,Social phobias
6B05,06,Separation anxiety disorder,F93.0,V,Separation anxiety disorder of childhood
6B06,06,Selective mutism,F94.0,V,Elective mutism
6B0Y,06,Other specified anxiety or fear-related disorders,F41.8,V,Other specified anxiety disorders
6B0Z,06,"Anxiety or fear-related disorders, unspecified",F41,V,Other anxiety disorders
6B20,06,Obsessive-compulsive disorder,F42,V,Obsessive-compulsive disorder
6B20.0,06,Obsessive-compulsive disorder with fair to good insight,F42,V,Obsessive-compulsive disorder
6B20.1,06,Obsessive-compulsive disorder with poor to absent insight,F42,V,Obsessive-compulsive disorder
6B20.Z,06,"Obsessive-compulsive disorder, unspecified",F42,V,Obsessive-compulsive disorder
6B21,06,Body dysmorphic disorder,F45.2,V,Hypochondriacal disorder
6B21.0,06,Body dysmorphic disorder with fair to good insight,F45.2,V,Hypochondriacal disorder
6B21.1,06,Body dysmorphic disorder with poor to absent insight,F45.2,V,Hypochondriacal disorder
6B21.Z,06,"Body dysmorphic disorder, unspecified",F45.2,V,Hypochondriacal disorder
6B22,06,Olfactory reference disorder,F42.8,V,Other obsessive-compulsive disorders
6B22.0,06,Olfactory reference disorder with fair to good insight,F42.8,V,Other obsessive-compulsive disorders
6B22.1,06,Olfactory reference disorder with poor to absent insight,F42.8,V,Other obsessive-compulsive disorders
6B22.Z,06,"Olfactory reference disorder, unspecified",F42.8,V,Other obsessive-compulsive disorders
6B23,06,Hypochondriasis,F45.2,V,Hypochondriacal disorder
6B23.0,06,Hypochondriasis with fair to good insight,F45.2,V,Hypochondriacal disorder
6B23.1,06,Hypochondriasis with poor to absent insight,F45.2,V,Hypochondriacal disorder
6B23.Z,06,"Hypochondriasis, unspecified",F45.2,V,Hypochondriacal disorder
6B24,06,Hoarding disorder,F63.8,V,Other habit and impulse disorders
6B24.0,06,Hoarding disorder with fair to good insight,F63.8,V,Other habit and impulse disorders
6B24.1,06,Hoarding disorder with poor to absent insight,F63.8,V,Other habit and impulse disorders
6B24.Z,06,"Hoarding disorder, unspecified",F63.8,V,Other habit and impulse disorders
6B25,06,Body-focused repetitive behaviour disorders,F42.8,V,Other obsessive-compulsive disorders
6B25.0,06,Trichotillomania,F63.3,V,Trichotillomania
6B25.1,06,Excoriation disorder,L98.1,XII,Factitial dermatitis
6B25.Y,06,Other specified body-focused repetitive behaviour disorders,F42.8,V,Other obsessive-compulsive disorders
6B25.Z,06,"Body-focused repetitive behaviour disorders, unspecified",F42.8,V,Other obsessive-compulsive disorders
6B2Y,06,Other specified obsessive-compulsive or related disorders,F99-F99,V,Unspecified mental disorder
6B2Z,06,"Obsessive-compulsive or related disorders, unspecified",F99-F99,V,Unspecified mental disorder
6B40,06,Post traumatic stress disorder,F43.1,V,Post-traumatic stress disorder
6B41,06,Complex post traumatic stress disorder,F62.0,V,Enduring personality change after catastrophic experience
6B42,06,Prolonged grief disorder,F43,V,"Reaction to severe stress, and adjustment disorders"
6B43,06,Adjustment disorder,F43.2,V,Adjustment disorders
6B44,06,Reactive attachment disorder,F94.1,V,Reactive attachment disorder of childhood
6B45,06,Disinhibited social engagement disorder,F94.2,V,Disinhibited attachment disorder of childhood
6B4Y,06,Other specified disorders specifically associated with stress,F43.8,V,Other reactions to severe stress
6B4Z,06,"Disorders specifically associated with stress, unspecified",F43,V,"Reaction to severe stress, and adjustment disorders"
6B60,06,Dissociative neurological symptom disorder,F48.9,V,"Neurotic disorder, unspecified"
6B60.0,06,"Dissociative neurological symptom disorder, with visual disturbance",F48.9,V,"Neurotic disorder, unspecified"
6B60.1,06,"Dissociative neurological symptom disorder, with auditory disturbance",F48.9,V,"Neurotic disorder, unspecified"
6B60.2,06,"Dissociative neurological symptom disorder, with vertigo or dizziness",F48.9,V,"Neurotic disorder, unspecified"
6B60.3,06,"Dissociative neurological symptom disorder, with other sensory disturbance",F44.6,V,Dissociative anaesthesia and sensory loss
6B60.4,06,"Dissociative neurological symptom disorder, with non-epileptic seizures",F44.5,V,Dissociative convulsions
6B60.5,06,"Dissociative neurological symptom disorder, with speech disturbance",F48.9,V,"Neurotic disorder, unspecified"
6B60.6,06,"Dissociative neurological symptom disorder, with paresis or weakness",F48.9,V,"Neurotic disorder, unspecified"
6B60.7,06,"Dissociative neurological symptom disorder, with gait disturbance",F48.9,V,"Neurotic disorder, unspecified"
6B60.8,06,"Dissociative neurological symptom disorder, with movement disturbance",F44.4,V,Dissociative motor disorders
6B60.80,06,"Dissociative neurological symptom disorder, with chorea",F44.4,V,Dissociative motor disorders
6B60.81,06,"Dissociative neurological symptom disorder, with myoclonus",F44.4,V,Dissociative motor disorders
6B60.82,06,"Dissociative neurological symptom disorder, with tremor",F44.4,V,Dissociative motor disorders
6B60.83,06,"Dissociative neurological symptom disorder, with dystonia",F44.4,V,Dissociative motor disorders
6B60.84,06,"Dissociative neurological symptom disorder, with facial spasm",F44.4,V,Dissociative motor disorders
6B60.85,06,"Dissociative neurological symptom disorder, with Parkinsonism",F44.4,V,Dissociative motor disorders
6B60.8Y,06,"Dissociative neurological symptom disorder, with other specified movement disturbance",F44.4,V,Dissociative motor disorders
6B60.8Z,06,"Dissociative neurological symptom disorder, with unspecified movement disturbance",F44.4,V,Dissociative motor disorders
6B60.9,06,"Dissociative neurological symptom disorder, with cognitive symptoms",F48.9,V,"Neurotic disorder, unspecified"
6B60.Y,06,"Dissociative neurological symptom disorder, with other specified symptoms",F48.9,V,"Neurotic disorder, unspecified"
6B60.Z,06,"Dissociative neurological symptom disorder, with unspecified symptoms",F48.9,V,"Neurotic disorder, unspecified"
6B61,06,Dissociative amnesia,F44.0,V,Dissociative amnesia
6B61.0,06,Dissociative amnesia with dissociative fugue,F44.1,V,Dissociative fugue
6B61.1,06,Dissociative amnesia without dissociative fugue,F44.0,V,Dissociative amnesia
6B61.Z,06,"Dissociative amnesia, unspecified",F44.0,V,Dissociative amnesia
6B62,06,Trance disorder,F48.9,V,"Neurotic disorder, unspecified"
6B63,06,Possession trance disorder,F44.3,V,Trance and possession disorders
6B64,06,Dissociative identity disorder,F48.9,V,"Neurotic disorder, unspecified"
6B65,06,Partial dissociative identity disorder,F48.9,V,"Neurotic disorder, unspecified"
6B66,06,Depersonalization-derealization disorder,F48.1,V,Depersonalization-derealization syndrome
6B6Y,06,Other specified dissociative disorders,F48.9,V,"Neurotic disorder, unspecified"
6B6Z,06,"Dissociative disorders, unspecified",F48.9,V,"Neurotic disorder, unspecified"
6B80,06,Anorexia Nervosa,F50,V,Eating disorders
6B80.0,06,Anorexia Nervosa with significantly low body weight,F50,V,Eating disorders
6B80.00,06,"Anorexia Nervosa with significantly low body weight, restricting pattern",F50,V,Eating disorders
6B80.01,06,"Anorexia Nervosa with significantly low body weight, binge-purge pattern",F50,V,Eating disorders
6B80.0Z,06,"Anorexia Nervosa with significantly low body weight, unspecified",F50,V,Eating disorders
6B80.1,06,Anorexia Nervosa with dangerously low body weight,F50,V,Eating disorders
6B80.10,06,"Anorexia Nervosa with dangerously low body weight, restricting pattern",F50,V,Eating disorders
6B80.11,06,"Anorexia Nervosa with dangerously low body weight, binge-purge pattern",F50,V,Eating disorders
6B80.1Z,06,"Anorexia Nervosa with dangerously low body weight, unspecified",F50,V,Eating disorders
6B80.2,06,Anorexia Nervosa in recovery with normal body weight,F50,V,Eating disorders
6B80.Y,06,Other specified anorexia Nervosa,F50.8,V,Other eating disorders
6B80.Z,06,"Anorexia Nervosa, unspecified",F50,V,Eating disorders
6B81,06,Bulimia Nervosa,F50,V,Eating disorders
6B82,06,Binge eating disorder,F50.9,V,"Eating disorder, unspecified"
6B83,06,Avoidant-restrictive food intake disorder,F50.9,V,"Eating disorder, unspecified"
6B84,06,Pica,F98.3,V,Pica of infancy and childhood
6B85,06,Rumination-regurgitation disorder,F50.9,V,"Eating disorder, unspecified"
6B8Y,06,Other specified feeding or eating disorders,F50.9,V,"Eating disorder, unspecified"
6B8Z,06,"Feeding or eating disorders, unspecified",F50.9,V,"Eating disorder, unspecified"
6C00,06,Enuresis,F98.0,V,Nonorganic enuresis
6C00.0,06,Nocturnal enuresis,F98.0,V,Nonorganic enuresis
6C00.1,06,Diurnal enuresis,F98.0,V,Nonorganic enuresis
6C00.2,06,Nocturnal and diurnal enuresis,F98.0,V,Nonorganic enuresis
6C00.Z,06,"Enuresis, unspecified",F98.0,V,Nonorganic enuresis
6C01,06,Encopresis,F99-F99,V,Unspecified mental disorder
6C01.0,06,Encopresis with constipation or overflow incontinence,F99-F99,V,Unspecified mental disorder
6C01.1,06,Encopresis without constipation or overflow incontinence,F99-F99,V,Unspecified mental disorder
6C01.Z,06,"Encopresis, unspecified",F99-F99,V,Unspecified mental disorder
6C0Z,06,"Elimination disorders, unspecified",F99-F99,V,Unspecified mental disorder
6C20,06,Bodily distress disorder,F45,V,Somatoform disorders
6C20.0,06,Mild bodily distress disorder,F45,V,Somatoform disorders
6C20.1,06,Moderate bodily distress disorder,F45,V,Somatoform disorders
6C20.2,06,Severe bodily distress disorder,F45,V,Somatoform disorders
6C20.Z,06,"Bodily distress disorder, unspecified",F45,V,Somatoform disorders
6C21,06,Body integrity dysphoria,F99-F99,V,Unspecified mental disorder
6C2Y,06,Other specified disorders of bodily distress or bodily experience,F99-F99,V,Unspecified mental disorder
6C2Z,06,"Disorders of bodily distress or bodily experience, unspecified",F99-F99,V,Unspecified mental disorder
6C40,06,Disorders due to use of alcohol,F10.9,V,Mental and behavioural disorders due to use of alcohol : unspecified mental and behavioural disorder
6C40.0,06,Episode of harmful use of alcohol,F10.9,V,Mental and behavioural disorders due to use of alcohol : unspecified mental and behavioural disorder
6C40.1,06,Harmful pattern of use of alcohol,F10.1,V,Mental and behavioural disorders due to use of alcohol : harmful use
6C40.10,06,"Harmful pattern of use of alcohol, episodic",F10.1,V,Mental and behavioural disorders due to use of alcohol : harmful use
6C40.11,06,"Harmful pattern of use of alcohol, continuous",F10.1,V,Mental and behavioural disorders due to use of alcohol : harmful use
6C40.1Z,06,"Harmful pattern of use of alcohol, unspecified",F10.1,V,Mental and behavioural disorders due to use of alcohol : harmful use
6C40.2,06,Alcohol dependence,F10.2,V,Mental and behavioural disorders due to use of alcohol : dependence syndrome
6C40.20,06,"Alcohol dependence, current use, continuous",F10.2,V,Mental and behavioural disorders due to use of alcohol : dependence syndrome
6C40.21,06,"Alcohol dependence, current use, episodic",F10.2,V,Mental and behavioural disorders due to use of alcohol : dependence syndrome
6C40.22,06,"Alcohol dependence, early full remission",F10.2,V,Mental and behavioural disorders due to use of alcohol : dependence syndrome
6C40.23,06,"Alcohol dependence, sustained partial remission",F10.2,V,Mental and behavioural disorders due to use of alcohol : dependence syndrome
6C40.24,06,"Alcohol dependence, sustained full remission",F10.2,V,Mental and behavioural disorders due to use of alcohol : dependence syndrome
6C40.2Z,06,"Alcohol dependence, unspecified",F10.2,V,Mental and behavioural disorders due to use of alcohol : dependence syndrome
6C40.3,06,Alcohol intoxication,F10.0,V,Mental and behavioural disorders due to use of alcohol : acute intoxication
6C40.4,06,Alcohol withdrawal,F10.3,V,Mental and behavioural disorders due to use of alcohol withdrawal state
6C40.40,06,"Alcohol withdrawal, uncomplicated",F10.3,V,Mental and behavioural disorders due to use of alcohol withdrawal state
6C40.41,06,Alcohol withdrawal with perceptual disturbances,F10.3,V,Mental and behavioural disorders due to use of alcohol withdrawal state
6C40.42,06,Alcohol withdrawal with seizures,F10.3,V,Mental and behavioural disorders due to use of alcohol withdrawal state
6C40.43,06,Alcohol withdrawal with perceptual disturbances and seizures,F10.3,V,Mental and behavioural disorders due to use of alcohol withdrawal state
6C40.4Z,06,"Alcohol withdrawal, unspecified",F10.3,V,Mental and behavioural disorders due to use of alcohol withdrawal state
6C40.5,06,Alcohol-induced delirium,F10.4,V,Mental and behavioural disorders due to use of alcohol withdrawal state with delirium
6C40.6,06,Alcohol-induced psychotic disorder,F10.5,V,Mental and behavioural disorders due to use of alcohol : psychotic disorder
6C40.60,06,Alcohol-induced psychotic disorder with hallucinations,F10.5,V,Mental and behavioural disorders due to use of alcohol : psychotic disorder
6C40.61,06,Alcohol-induced psychotic disorder with delusions,F10.5,V,Mental and behavioural disorders due to use of alcohol : psychotic disorder
6C40.62,06,Alcohol-induced psychotic disorder with mixed psychotic symptoms,F10.5,V,Mental and behavioural disorders due to use of alcohol : psychotic disorder
6C40.6Z,06,"Alcohol-induced psychotic disorder, unspecified",F10.5,V,Mental and behavioural disorders due to use of alcohol : psychotic disorder
6C40.7,06,Certain specified alcohol-induced mental or behavioural disorders,F10.9,V,Mental and behavioural disorders due to use of alcohol : unspecified mental and behavioural disorder
6C40.70,06,Alcohol-induced mood disorder,F10.9,V,Mental and behavioural disorders due to use of alcohol : unspecified mental and behavioural disorder
6C40.71,06,Alcohol-induced anxiety disorder,F10.9,V,Mental and behavioural disorders due to use of alcohol : unspecified mental and behavioural disorder
6C40.Y,06,Other specified disorders due to use of alcohol,F10.9,V,Mental and behavioural disorders due to use of alcohol : unspecified mental and behavioural disorder
6C40.Z,06,"Disorders due to use of alcohol, unspecified",F10.9,V,Mental and behavioural disorders due to use of alcohol : unspecified mental and behavioural disorder
6C41,06,Disorders due to use of cannabis,F12,V,Mental and behavioural disorders due to use of cannabinoids
6C41.0,06,Episode of harmful use of cannabis,F12,V,Mental and behavioural disorders due to use of cannabinoids
6C41.1,06,Harmful pattern of use of cannabis,F12.1,V,Mental and behavioural disorders due to use of cannabinoids : harmful use
6C41.10,06,"Harmful pattern of use of cannabis, episodic",F12.1,V,Mental and behavioural disorders due to use of cannabinoids : harmful use
6C41.11,06,"Harmful pattern of use of cannabis, continuous",F12.1,V,Mental and behavioural disorders due to use of cannabinoids : harmful use
6C41.1Z,06,"Harmful pattern of use of cannabis, unspecified",F12.1,V,Mental and behavioural disorders due to use of cannabinoids : harmful use
6C41.2,06,Cannabis dependence,F12.2,V,Mental and behavioural disorders due to use of cannabinoids : dependence syndrome
6C41.20,06,"Cannabis dependence, current use",F12.2,V,Mental and behavioural disorders due to use of cannabinoids : dependence syndrome
6C41.21,06,"Cannabis dependence, early full remission",F12.2,V,Mental and behavioural disorders due to use of cannabinoids : dependence syndrome
6C41.22,06,"Cannabis dependence, sustained partial remission",F12.2,V,Mental and behavioural disorders due to use of cannabinoids : dependence syndrome
6C41.23,06,"Cannabis dependence, sustained full remission",F12.2,V,Mental and behavioural disorders due to use of cannabinoids : dependence syndrome
6C41.2Z,06,"Cannabis dependence, unspecified",F12.2,V,Mental and behavioural disorders due to use of cannabinoids : dependence syndrome
6C41.3,06,Cannabis intoxication,F12.0,V,Mental and behavioural disorders due to use of cannabinoids : acute intoxication
6C41.4,06,Cannabis withdrawal,F12.3,V,Mental and behavioural disorders due to use of cannabinoids withdrawal state
6C41.5,06,Cannabis-induced delirium,F12.4,V,Mental and behavioural disorders due to use of cannabinoids withdrawal state with delirium
6C41.6,06,Cannabis-induced psychotic disorder,F12,V,Mental and behavioural disorders due to use of cannabinoids
6C41.7,06,Certain specified cannabis-induced mental or behavioural disorders,F12,V,Mental and behavioural disorders due to use of cannabinoids
6C41.70,06,Cannabis-induced mood disorder,F12,V,Mental and behavioural disorders due to use of cannabinoids
6C41.71,06,Cannabis-induced anxiety disorder,F12,V,Mental and behavioural disorders due to use of cannabinoids
6C41.Y,06,Other specified disorders due to use of cannabis,F12.8,V,Mental and behavioural disorders due to use of cannabinoids : other mental and behavioural disorders
6C41.Z,06,"Disorders due to use of cannabis, unspecified",F12,V,Mental and behavioural disorders due to use of cannabinoids
6C42,06,Disorders due to use of synthetic cannabinoids,F12.9,V,Mental and behavioural disorders due to use of cannabinoids : unspecified mental and behavioural disorder
6C42.0,06,Episode of harmful use of synthetic cannabinoids,F12.1,V,Mental and behavioural disorders due to use of cannabinoids : harmful use
6C42.1,06,Harmful pattern of use of synthetic cannabinoids,F12.1,V,Mental and behavioural disorders due to use of cannabinoids : harmful use
6C42.10,06,"Harmful pattern of use of synthetic cannabinoids, episodic",F12.1,V,Mental and behavioural disorders due to use of cannabinoids : harmful use
6C42.11,06,"Harmful pattern of use of synthetic cannabinoids, continuous",F12.1,V,Mental and behavioural disorders due to use of cannabinoids : harmful use
6C42.1Y,06,Other specified harmful pattern of use of synthetic cannabinoids,F12.1,V,Mental and behavioural disorders due to use of cannabinoids : harmful use
6C42.1Z,06,"Harmful pattern of use of synthetic cannabinoids, unspecified",F12.1,V,Mental and behavioural disorders due to use of cannabinoids : harmful use
6C42.2,06,Synthetic cannabinoid dependence,F12.2,V,Mental and behavioural disorders due to use of cannabinoids : dependence syndrome
6C42.20,06,"Synthetic cannabinoid dependence, current use",F12.2,V,Mental and behavioural disorders due to use of cannabinoids : dependence syndrome
6C42.21,06,"Synthetic cannabinoid dependence, early full remission",F12.2,V,Mental and behavioural disorders due to use of cannabinoids : dependence syndrome
6C42.22,06,"Synthetic cannabinoid dependence, sustained partial remission",F12.2,V,Mental and behavioural disorders due to use of cannabinoids : dependence syndrome
6C42.23,06,"Synthetic cannabinoid dependence, sustained full remission",F12.2,V,Mental and behavioural disorders due to use of cannabinoids : dependence syndrome
6C42.2Y,06,Other specified synthetic cannabinoid dependence,F12.2,V,Mental and behavioural disorders due to use of cannabinoids : dependence syndrome
6C42.2Z,06,"Synthetic cannabinoid dependence, unspecified",F12.2,V,Mental and behavioural disorders due to use of cannabinoids : dependence syndrome
6C42.3,06,Synthetic cannabinoid intoxication,F12.0,V,Mental and behavioural disorders due to use of cannabinoids : acute intoxication
6C42.4,06,Synthetic cannabinoid withdrawal,F12.3,V,Mental and behavioural disorders due to use of cannabinoids withdrawal state
6C42.5,06,Synthetic cannabinoid-induced delirium,F12.4,V,Mental and behavioural disorders due to use of cannabinoids withdrawal state with delirium
6C42.6,06,Synthetic cannabinoid-induced psychotic disorder,F12,V,Mental and behavioural disorders due to use of cannabinoids
6C42.7,06,Certain specified synthetic cannabinoids-induced mental or behavioural disorders,F12.9,V,Mental and behavioural disorders due to use of cannabinoids : unspecified mental and behavioural disorder
6C42.70,06,Synthetic cannabinoid-induced mood disorder,F12.9,V,Mental and behavioural disorders due to use of cannabinoids : unspecified mental and behavioural disorder
6C42.71,06,Synthetic cannabinoid-induced anxiety disorder,F12.8,V,Mental and behavioural disorders due to use of cannabinoids : other mental and behavioural disorders
6C42.Y,06,Other specified disorders due to use of synthetic cannabinoids,F12.9,V,Mental and behavioural disorders due to use of cannabinoids : unspecified mental and behavioural disorder
6C42.Z,06,"Disorders due to use of synthetic cannabinoids, unspecified",F12.9,V,Mental and behavioural disorders due to use of cannabinoids : unspecified mental and behavioural disorder
6C43,06,Disorders due to use of opioids,F11.9,V,Mental and behavioural disorders due to use of opioids : unspecified mental and behavioural disorder
6C43.0,06,Episode of harmful use of opioids,F11.9,V,Mental and behavioural disorders due to use of opioids : unspecified mental and behavioural disorder
6C43.1,06,Harmful pattern of use of opioids,F11.1,V,Mental and behavioural disorders due to use of opioids : harmful use
6C43.10,06,"Harmful pattern of use of opioids, episodic",F11.1,V,Mental and behavioural disorders due to use of opioids : harmful use
6C43.11,06,"Harmful pattern of use of opioids, continuous",F11.1,V,Mental and behavioural disorders due to use of opioids : harmful use
6C43.1Z,06,"Harmful pattern of use of opioids, unspecified",F11.1,V,Mental and behavioural disorders due to use of opioids : harmful use
6C43.2,06,Opioid dependence,F11.2,V,Mental and behavioural disorders due to use of opioids : dependence syndrome
6C43.20,06,"Opioid dependence, current use",F11.2,V,Mental and behavioural disorders due to use of opioids : dependence syndrome
6C43.21,06,"Opioid dependence, early full remission",F11.2,V,Mental and behavioural disorders due to use of opioids : dependence syndrome
6C43.22,06,"Opioid dependence, sustained partial remission",F11.2,V,Mental and behavioural disorders due to use of opioids : dependence syndrome
6C43.23,06,"Opioid dependence, sustained full remission",F11.2,V,Mental and behavioural disorders due to use of opioids : dependence syndrome
6C43.2Z,06,"Opioid dependence, unspecified",F11.2,V,Mental and behavioural disorders due to use of opioids : dependence syndrome
6C43.3,06,Opioid intoxication,F11.0,V,Mental and behavioural disorders due to use of opioids : acute intoxication
6C43.4,06,Opioid withdrawal,F11.3,V,Mental and behavioural disorders due to use of opioids withdrawal state
6C43.5,06,Opioid-induced delirium,F11.4,V,Mental and behavioural disorders due to use of opioids withdrawal state with delirium
6C43.6,06,Opioid-induced psychotic disorder,F11,V,Mental and behavioural disorders due to use of opioids
6C43.7,06,Certain specified opioid-induced mental or behavioural disorders,F11.9,V,Mental and behavioural disorders due to use of opioids : unspecified mental and behavioural disorder
6C43.70,06,Opioid-induced mood disorder,F11.9,V,Mental and behavioural disorders due to use of opioids : unspecified mental and behavioural disorder
6C43.71,06,Opioid-induced anxiety disorder,F11.9,V,Mental and behavioural disorders due to use of opioids : unspecified mental and behavioural disorder
6C43.Y,06,Other specified disorders due to use of opioids,F11.9,V,Mental and behavioural disorders due to use of opioids : unspecified mental and behavioural disorder
6C43.Z,06,"Disorders due to use of opioids, unspecified",F11.9,V,Mental and behavioural disorders due to use of opioids : unspecified mental and behavioural disorder
6C44,06,"Disorders due to use of sedatives, hypnotics or anxiolytics",F13.9,V,Mental and behavioural disorders due to use of sedatives or hypnotics : unspecified mental and behavioural disorder
6C44.0,06,"Episode of harmful use of sedatives, hypnotics or anxiolytics",F13.9,V,Mental and behavioural disorders due to use of sedatives or hypnotics : unspecified mental and behavioural disorder
6C44.1,06,"Harmful pattern of use of sedatives, hypnotics or anxiolytics",F13.1,V,Mental and behavioural disorders due to use of sedatives or hypnotics : harmful use
6C44.10,06,"Harmful pattern of use of sedatives, hypnotics or anxiolytics, episodic",F13.1,V,Mental and behavioural disorders due to use of sedatives or hypnotics : harmful use
6C44.11,06,"Harmful pattern of use of sedatives, hypnotics or anxiolytics, continuous",F13.1,V,Mental and behavioural disorders due to use of sedatives or hypnotics : harmful use
6C44.1Z,06,"Harmful pattern of use of sedatives, hypnotics or anxiolytics, unspecified",F13.1,V,Mental and behavioural disorders due to use of sedatives or hypnotics : harmful use
6C44.2,06,"Sedative, hypnotic or anxiolytic dependence",F13.2,V,Mental and behavioural disorders due to use of sedatives or hypnotics : dependence syndrome
6C44.20,06,"Sedative, hypnotic or anxiolytic dependence, current use",F13.2,V,Mental and behavioural disorders due to use of sedatives or hypnotics : dependence syndrome
6C44.21,06,"Sedative, hypnotic or anxiolytic dependence, early full remission",F13.2,V,Mental and behavioural disorders due to use of sedatives or hypnotics : dependence syndrome
6C44.22,06,"Sedative, hypnotic or anxiolytic dependence, sustained partial remission",F13.2,V,Mental and behavioural disorders due to use of sedatives or hypnotics : dependence syndrome
6C44.23,06,"Sedative, hypnotic or anxiolytic dependence, sustained full remission",F13.2,V,Mental and behavioural disorders due to use of sedatives or hypnotics : dependence syndrome
6C44.2Z,06,"Sedative, hypnotic or anxiolytic dependence, unspecified",F13.2,V,Mental and behavioural disorders due to use of sedatives or hypnotics : dependence syndrome
6C44.3,06,"Sedative, hypnotic or anxiolytic intoxication",F13.0,V,Mental and behavioural disorders due to use of sedatives or hypnotics : acute intoxication
6C44.4,06,"Sedative, hypnotic or anxiolytic withdrawal",F13.3,V,Mental and behavioural disorders due to use of sedatives or hypnotics withdrawal state
6C44.40,06,"Sedative, hypnotic or anxiolytic withdrawal, uncomplicated",F13.3,V,Mental and behavioural disorders due to use of sedatives or hypnotics withdrawal state
6C44.41,06,"Sedative, hypnotic or anxiolytic withdrawal, with perceptual disturbances",F13.3,V,Mental and behavioural disorders due to use of sedatives or hypnotics withdrawal state
6C44.42,06,"Sedative, hypnotic or anxiolytic withdrawal, with seizures",F13.3,V,Mental and behavioural disorders due to use of sedatives or hypnotics withdrawal state
6C44.43,06,"Sedative, hypnotic or anxiolytic withdrawal, with perceptual disturbances and seizures",F13.3,V,Mental and behavioural disorders due to use of sedatives or hypnotics withdrawal state
6C44.4Z,06,"Sedative, hypnotic or anxiolytic withdrawal, unspecified",F13.3,V,Mental and behavioural disorders due to use of sedatives or hypnotics withdrawal state
6C44.5,06,"Sedative, hypnotic or anxiolytic-induced delirium",F13.4,V,Mental and behavioural disorders due to use of sedatives or hypnotics withdrawal state with delirium
6C44.6,06,"Sedative, hypnotic or anxiolytic-induced psychotic disorder",F13,V,Mental and behavioural disorders due to use of sedatives or hypnotics
6C44.7,06,"Certain specified sedatives, hypnotics or anxiolytic-induced mental or behavioural disorders",F13.9,V,Mental and behavioural disorders due to use of sedatives or hypnotics : unspecified mental and behavioural disorder
6C44.70,06,"Sedative, hypnotic or anxiolytic-induced mood disorder",F13.8,V,Mental and behavioural disorders due to use of sedatives or hypnotics : other mental and behavioural disorders
6C44.71,06,"Sedative, hypnotic or anxiolytic-induced anxiety disorder",F13.8,V,Mental and behavioural disorders due to use of sedatives or hypnotics : other mental and behavioural disorders
6C44.Y,06,"Other specified disorders due to use of sedatives, hypnotics or anxiolytics",F13.9,V,Mental and behavioural disorders due to use of sedatives or hypnotics : unspecified mental and behavioural disorder
6C44.Z,06,"Disorders due to use of sedatives, hypnotics or anxiolytics, unspecified",F13.9,V,Mental and behavioural disorders due to use of sedatives or hypnotics : unspecified mental and behavioural disorder
6C45,06,Disorders due to use of cocaine,F14.9,V,Mental and behavioural disorders due to use of cocaine : unspecified mental and behavioural disorder
6C45.0,06,Episode of harmful use of cocaine,F14.9,V,Mental and behavioural disorders due to use of cocaine : unspecified mental and behavioural disorder
6C45.1,06,Harmful pattern of use of cocaine,F14.1,V,Mental and behavioural disorders due to use of cocaine : harmful use
6C45.10,06,"Harmful pattern of use of cocaine, episodic",F14.1,V,Mental and behavioural disorders due to use of cocaine : harmful use
6C45.11,06,"Harmful pattern of use of cocaine, continuous",F14.1,V,Mental and behavioural disorders due to use of cocaine : harmful use
