icd10Code,icd10ClassKind,icd10Chapter,icd10Title,icd11Code,icd11ClassKind,icd11Chapter,icd11Title
A05.0,category,I,Foodborne staphylococcal intoxication,1A10,category,01,Foodborne staphylococcal intoxication
A05.1,category,I,Botulism,1A11.Z,category,01,"Botulism, unspecified"
A05.2,category,I,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,1A12,category,01,Foodborne Clostridium perfringens intoxication
A05.3,category,I,Foodborne Vibrio parahaemolyticus intoxication,1A1Z,category,01,"Bacterial foodborne intoxications, unspecified"
A05.4,category,I,Foodborne Bacillus cereus intoxication,1A13,category,01,Foodborne Bacillus cereus intoxication
A05.8,category,I,Other specified bacterial foodborne intoxications,1A1Z,category,01,"Bacterial foodborne intoxications, unspecified"
A05.9,category,I,"Bacterial foodborne intoxication, unspecified",1A1Z,category,01,"Bacterial foodborne intoxications, unspecified"
A06,category,I,Amoebiasis,1A36.Z,category,01,"Amoebiasis, unspecified"
A06.0,category,I,Acute amoebic dysentery,1A36.00,category,01,Acute amoebiasis
A06.0,category,I,Acute amoebic dysentery,1A36.0Y,category,01,Other specified intestinal infections due to Entamoeba
A06.1,category,I,Chronic intestinal amoebiasis,1A36.0Y,category,01,Other specified intestinal infections due to Entamoeba
A06.2,category,I,Amoebic nondysenteric colitis,1A36.0Y,category,01,Other specified intestinal infections due to Entamoeba
A06.3,category,I,Amoeboma of intestine,1A36.01,category,01,Amoeboma of intestine
A06.4,category,I,Amoebic liver abscess,1A36.10,category,01,Amoebic liver abscess
A06.5,category,I,Amoebic lung abscess,1A36.11,category,01,Amoebic lung abscess
A06.6,category,I,Amoebic brain abscess,1A36.1Y/1D03.3Z,category,01,"Amoebiasis of other specified sites / Intracranial abscess, unspecified"
A06.7,category,I,Cutaneous amoebiasis,1A36.12,category,01,Cutaneous amoebiasis
A06.8,category,I,Amoebic infection of other sites,1A36.1Y,category,01,Amoebiasis of other specified sites
A06.9,category,I,"Amoebiasis, unspecified",1A36.Z,category,01,"Amoebiasis, unspecified"
A07,category,I,Other protozoal intestinal diseases,1A3Z,category,01,"Protozoal intestinal infections, unspecified"
A07.0,category,I,Balantidiasis,1A30,category,01,Infections due to Balantidium coli
A07.1,category,I,Giardiasis [lambliasis],1A31,category,01,Giardiasis
A07.2,category,I,Cryptosporidiosis,1A32,category,01,Cryptosporidiosis
A07.3,category,I,Isosporiasis,1A33.Z,category,01,"Cystoisosporiasis, unspecified"
A07.8,category,I,Other specified protozoal intestinal diseases,1A35,category,01,Blastocystosis
A07.8,category,I,Other specified protozoal intestinal diseases,1A34,category,01,Sarcocystosis
A07.8,category,I,Other specified protozoal intestinal diseases,1A36.0Z,category,01,"Intestinal infections due to Entamoeba, unspecified"
A07.8,category,I,Other specified protozoal intestinal diseases,1A3Y&XN316,category,01,Other specified protozoal intestinal infections [Trichomonas]
