entityId,code,title,classKind,depthInKind,chapterNo,parentEntityId
900000017,1A36.1Y,Amoebiasis of other specified sites,category,3,01,1777228366
900000018,1A36.Z,"Amoebiasis, unspecified",category,2,01,435671752
900000019,1A3Y,Other specified protozoal intestinal infections,category,1,01,2092703582
900000020,1A3Z,"Protozoal intestinal infections, unspecified",category,1,01,2092703582
1688127370,1A40,Gastroenteritis or colitis without specification of infectious agent,category,1,01,588616678
1160271562,1A40.0,Gastroenteritis or colitis without specification of origin,category,2,01,1688127370
900000021,1A40.Z,Infectious gastroenteritis or colitis without specification of infectious agent,category,2,01,1688127370
1904876434,,Predominantly sexually transmitted infections,block,1,01,1435254666
455894495,,Syphilis,block,2,01,1904876434
587996426,1A60,Congenital syphilis,category,1,01,455894495
395565060,1A60.0,"Early congenital syphilis, symptomatic",category,2,01,587996426
1926763926,1A60.1,"Early congenital syphilis, latent",category,2,01,587996426
1665042685,1A60.2,Late congenital syphilitic oculopathy,category,2,01,587996426
282073961,1A60.3,Late congenital neurosyphilis,category,2,01,587996426
2132718683,1A60.4,"Other late congenital syphilis, symptomatic",category,2,01,587996426
20350466,1A60.5,"Late congenital syphilis, latent",category,2,01,587996426
900000022,1A60.Z,"Congenital syphilis, unspecified",category,2,01,587996426
1179111584,1A61,Early syphilis,category,1,01,455894495
191565955,1A61.0,Primary genital syphilis,category,2,01,1179111584
1847647511,1A61.1,Primary anal syphilis,category,2,01,1179111584
445484522,1A61.2,Primary syphilis of other sites,category,2,01,1179111584
2143699068,1A61.3,Secondary syphilis of skin or mucous membranes,category,2,01,1179111584
204002280,1A61.4,Secondary syphilis of other sites,category,2,01,1179111584
1768103550,1A61.5,Latent early syphilis,category,2,01,1179111584
900000023,1A61.Y,Other specified early syphilis,category,2,01,1179111584
900000024,1A61.Z,"Early syphilis, unspecified",category,2,01,1179111584
854229089,1A62,Late syphilis,category,1,01,455894495
2118246468,1A62.0,Neurosyphilis,category,2,01,854229089
453651926,1A62.00,Asymptomatic neurosyphilis,category,3,01,2118246468
1873247529,1A62.01,Symptomatic late neurosyphilis,category,3,01,2118246468
900000025,1A62.0Z,"Neurosyphilis, unspecified",category,3,01,2118246468
