code,level,preferred,term,codeReference,obs,seeAlso,excludes,other,description
90500/0,Preferred,1,"Mesothelioma, benign",,,,,,"Mesothelioma, benign"
90500/2,Preferred,1,Mesothelioma in situ,,,,,,Mesothelioma in situ
90500/3,Preferred,1,"Mesothelioma, NOS",,,,,,"Mesothelioma, NOS"
90500/3,Synonym,0,"Mesothelioma, malignant",,,,,,"Mesothelioma, malignant"
90501/3,Preferred,1,"Mesothelioma, diffuse ",,,,,,"Mesothelioma, diffuse "
90501/3,Related,0,Diffuse pleural mesothelioma,C38.4,,,,,Diffuse pleural mesothelioma (C38.4)
90502/3,Preferred,1,Localized mesothelioma,,,,,,Localized mesothelioma
90502/3,Related,0,Localized pleural mesothelioma,C38.4,,,,,Localized pleural mesothelioma (C38.4)
90510/0,Preferred,1,"Fibrous mesothelioma, benign",,,,,,"Fibrous mesothelioma, benign"
90510/3,Preferred,1,Sarcomatoid mesothelioma,,,,,,Sarcomatoid mesothelioma
90510/3,Synonym,0,"Fibrous mesothelioma, malignant",,,,,,"Fibrous mesothelioma, malignant"
90510/3,Synonym,0,"Fibrous mesothelioma, NOS",,,,,,"Fibrous mesothelioma, NOS"
90510/3,Synonym,0,Desmoplastic mesothelioma,,,,,,Desmoplastic mesothelioma
90510/3,Synonym,0,Spindled mesothelioma,,,,,,Spindled mesothelioma
90520/0,Preferred,1,"Well-differentiated papillary mesothelial tumour, NOS",,,,(except of pleura M-90520/1),,"Well-differentiated papillary mesothelial tumour, NOS (except of pleura M-90520/1)"
90520/0,Synonym,0,"Well-differentiated papillary mesothelioma, NOS",,[obs],,(except of pleura M-90520/1),,"Well-differentiated papillary mesothelioma, NOS [obs] (except of pleura M-90520/1)"
90520/0,Synonym,0,"Epithelioid mesothelioma, benign",,,,,,"Epithelioid mesothelioma, benign"
90520/0,Synonym,0,Mesothelial papilloma,,,,,,Mesothelial papilloma
90520/1,Preferred,1,Well-differentiated papillary mesothelial tumour of pleura,C38.4,,,,,Well-differentiated papillary mesothelial tumour of pleura (C38.4)
90520/1,Synonym,0,Well-differentiated papillary mesothelioma of pleura,C38.4,[obs],,,,Well-differentiated papillary mesothelioma of pleura (C38.4) [obs]
90520/3,Preferred,1,"Epithelioid mesothelioma, NOS",,,,,,"Epithelioid mesothelioma, NOS"
90520/3,Synonym,0,"Epithelioid mesothelioma, malignant",,,,,,"Epithelioid mesothelioma, malignant"
90530/3,Preferred,1,"Mesothelioma, biphasic, NOS",,,,,,"Mesothelioma, biphasic, NOS"
90530/3,Synonym,0,"Mesothelioma, biphasic, malignant",,,,,,"Mesothelioma, biphasic, malignant"
90540/0,Preferred,1,"Adenomatoid tumour, NOS",,,,,,"Adenomatoid tumour, NOS"
90550/0,Preferred,1,"Peritoneal inclusion cysts, NOS","C48.1, C48.2",,,,,"Peritoneal inclusion cysts, NOS (C48.1, C48.2)"
90550/0,Synonym,0,Multilocular peritoneal inclusion cysts,"C48.1, C48.2",,,,,"Multilocular peritoneal inclusion cysts (C48.1, C48.2)"
90550/0,Synonym,0,Cystic mesothelioma,"C48.1, C48.2",[obs],,,,"Cystic mesothelioma (C48.1, C48.2) [obs]"
90550/0,Synonym,0,Multicystic mesothelioma,"C48.1, C48.2",[obs],,,,"Multicystic mesothelioma (C48.1, C48.2) [obs]"
90600/3,Preferred,1,"Dysgerminoma, NOS",,,,,,"Dysgerminoma, NOS"
90600/3,Synonym,0,Germinoma of ovary,C56.9,,,,,Germinoma of ovary (C56.9)
90601/3,Preferred,1,Dysgerminoma with syncytiotrophoblast cells,,,,,,Dysgerminoma with syncytiotrophoblast cells
90610/2,Preferred,1,Intratubular seminoma,C62._,,,,,Intratubular seminoma (C62._)
90611/2,Preferred,1,Intratubular trophoblast,C62._,,,,,Intratubular trophoblast (C62._)
90610/3,Preferred,1,"Seminoma, NOS",C62._,,,,,"Seminoma, NOS (C62._)"
90610/3,Synonym,0,Germinoma of testis,C62._,,,,,Germinoma of testis (C62._)
90611/3,Preferred,1,Seminoma with syncytiotrophoblastic cells,C62._,,,,,Seminoma with syncytiotrophoblastic cells (C62._)
90611/3,Synonym,0,Seminoma with syncytiotrophoblast cells,C62._,,,,,Seminoma with syncytiotrophoblast cells (C62._)
90620/3,Preferred,1,"Seminoma, anaplastic",C62._,,,,,"Seminoma, anaplastic (C62._)"
90620/3,Synonym,0,Seminoma with high mitotic index,C62._,,,,,Seminoma with high mitotic index (C62._)
90630/3,Preferred,1,"Spermatocytic tumour, NOS",C62._,,,,,"Spermatocytic tumour, NOS (C62._)"
90630/3,Synonym,0,Spermatocytic seminoma,C62._,,,,,Spermatocytic seminoma (C62._)
90630/3,Synonym,0,Spermatocytoma,C62._,,,,,Spermatocytoma (C62._)
90631/3,Preferred,1,Spermatocytic tumour with sarcomatous differentiation,C62._,,,,,Spermatocytic tumour with sarcomatous differentiation (C62._)
90640/2,Preferred,1,Germ cell neoplasia in situ,C62._,,,,,Germ cell neoplasia in situ (C62._)
90640/2,Synonym,0,Intratubular germ cell neoplasia,C62._,,,,,Intratubular germ cell neoplasia (C62._)
90640/2,Synonym,0,Intratubular malignant germ cells,C62._,,,,,Intratubular malignant germ cells (C62._)
90640/3,Preferred,1,"Germ cell tumour, NOS",,,,,,"Germ cell tumour, NOS"
90641/3,Preferred,1,"Germinoma, NOS",,,,(except of ovary M-90600/3; except of testis M-90610/3),,"Germinoma, NOS (except of ovary M-90600/3; except of testis M-90610/3)"
90642/3,Preferred,1,Germinoma with syncytiotrophoblast cells,,,,,,Germinoma with syncytiotrophoblast cells
90650/3,Preferred,1,"Germ cell tumour, nonseminomatous",C62._,,,,,"Germ cell tumour, nonseminomatous (C62._)"
90700/2,Preferred,1,Intratubular embryonal carcinoma,C62._,,,,,Intratubular embryonal carcinoma (C62._)
90700/3,Preferred,1,"Embryonal carcinoma, NOS",,,,,,"Embryonal carcinoma, NOS"
90700/3,Synonym,0,Embryonal adenocarcinoma,,,,,,Embryonal adenocarcinoma
90710/2,Preferred,1,Intratubular yolk sac tumour,C62._,,,,,Intratubular yolk sac tumour (C62._)
90710/3,Preferred,1,"Yolk sac tumour, NOS",,,,,,"Yolk sac tumour, NOS"
90710/3,Synonym,0,"Embryonal carcinoma, infantile",,,,,,"Embryonal carcinoma, infantile"
90710/3,Synonym,0,Orchioblastoma,C62._,,,,,Orchioblastoma (C62._)
90710/3,Synonym,0,Polyvesicular vitelline tumour,,,,,,Polyvesicular vitelline tumour
90711/3,Preferred,1,Hepatoid yolk sac tumour,,,,,,Hepatoid yolk sac tumour
90712/3,Preferred,1,"Yolk sac tumour, prepubertal-type",,,,,,"Yolk sac tumour, prepubertal-type"
90712/3,Synonym,0,"Yolk sac tumour, prepubertal (type I)",,,,,,"Yolk sac tumour, prepubertal (type I)"
90713/3,Preferred,1,"Yolk sac tumour, postpubertal-type",,,,,,"Yolk sac tumour, postpubertal-type"
90713/3,Synonym,0,"Yolk sac tumour, postpubertal (type II)",,,,,,"Yolk sac tumour, postpubertal (type II)"
90713/3,Synonym,0,Endodermal sinus tumour,,,,,,Endodermal sinus tumour
90720/3,Preferred,1,Polyembryoma,,,,,,Polyembryoma
90720/3,Synonym,0,"Embryonal carcinoma, polyembryonal type",,,,,,"Embryonal carcinoma, polyembryonal type"
90730/1,Preferred,1,Gonadoblastoma,,,,,,Gonadoblastoma
90730/1,Synonym,0,Gonocytoma,,,,,,Gonocytoma
90800/0,Preferred,1,"Teratoma, benign",,,,,,"Teratoma, benign"
90800/0,Synonym,0,"Adult teratoma, NOS",,,,,,"Adult teratoma, NOS"
90800/0,Synonym,0,"Cystic teratoma, NOS",,,,,,"Cystic teratoma, NOS"
90800/0,Synonym,0,Adult cystic teratoma,,,,,,Adult cystic teratoma
90800/0,Synonym,0,"Mature teratoma, NOS",,,,,,"Mature teratoma, NOS"
90800/0,Synonym,0,Mature cystic teratoma,,,,,,Mature cystic teratoma
90800/0,Synonym,0,"Teratoma, differentiated",,,,,,"Teratoma, differentiated"
90801/0,Preferred,1,Monodermal cystic teratoma,,,,,,Monodermal cystic teratoma
90800/1,Preferred,1,"Teratoma, NOS",,,,,,"Teratoma, NOS"
90800/1,Synonym,0,Solid teratoma,,[obs],,,,Solid teratoma [obs]
90801/1,Preferred,1,Immature teratoma of thymus,C37.9,,,,,Immature teratoma of thymus (C37.9)
90801/1,Related,0,Immature teratoma of mediastinum,C38._,,,,,Immature teratoma of mediastinum (C38._)
90802/1,Preferred,1,"Germ cell tumour, regressed",,,,,,"Germ cell tumour, regressed"
90802/1,Synonym,0,"Germ cell tumour, burnt-out",,,,,,"Germ cell tumour, burnt-out"
90800/2,Preferred,1,Intratubular teratoma,C62._,,,,,Intratubular teratoma (C62._)
90800/3,Preferred,1,"Teratoma, malignant, NOS",,,,,,"Teratoma, malignant, NOS"
90800/3,Synonym,0,Embryonal teratoma,,[obs],,,,Embryonal teratoma [obs]
90800/3,Synonym,0,"Teratoblastoma, malignant",,[obs],,,,"Teratoblastoma, malignant [obs]"
90801/3,Preferred,1,"Immature teratoma, NOS",,,,(except of thymus or mediastinum M-90801/1),,"Immature teratoma, NOS (except of thymus or mediastinum M-90801/1)"
90801/3,Synonym,0,"Immature teratoma, malignant",,,,,,"Immature teratoma, malignant"
90810/3,Preferred,1,Teratocarcinoma,,[obs],,,,Teratocarcinoma [obs]
90810/3,Synonym,0,Mixed embryonal carcinoma and teratoma,,,,,,Mixed embryonal carcinoma and teratoma
90811/3,Preferred,1,Teratocarcinosarcoma,,,,,,Teratocarcinosarcoma
90820/3,Preferred,1,"Malignant teratoma, undifferentiated",,[obs],(See also M-90700/3),,,"Malignant teratoma, undifferentiated [obs] (See also M-90700/3)"
90820/3,Synonym,0,"Malignant teratoma, anaplastic",,[obs],,,,"Malignant teratoma, anaplastic [obs]"
90830/3,Preferred,1,"Malignant teratoma, intermediate",,[obs],"(See also M-90720/3, M-90852/3, M-90854/3",,,"Malignant teratoma, intermediate [obs] (See also M-90720/3, M-90852/3, M-90854/3"
90840/0,Preferred,1,"Dermoid cyst, NOS",,,,,,"Dermoid cyst, NOS"
90840/0,Synonym,0,"Dermoid, NOS",,,,,,"Dermoid, NOS"
90844/0,Preferred,1,"Teratoma, prepubertal-type",C62._,,,,,"Teratoma, prepubertal-type (C62._)"
90844/0,Synonym,0,"Teratoma, mature, prepubertal-type",C62._,,,,,"Teratoma, mature, prepubertal-type (C62._)"
90844/0,Synonym,0,Benign postpubertal testicular teratoma,C62._,,,,,Benign postpubertal testicular teratoma (C62._)
90844/0,Synonym,0,Type I germ cell tumour of testis,C62._,,,,,Type I germ cell tumour of testis (C62._)
90845/0,Preferred,1,Epidermoid cyst,,,,,,Epidermoid cyst
90840/3,Preferred,1,Teratoma with malignant transformation,,,,,,Teratoma with malignant transformation
90840/3,Synonym,0,Teratoma with somatic-type malignancy,,,,,,Teratoma with somatic-type malignancy
90840/3,Synonym,0,Somatic neoplasm arising from teratoma,,,,,,Somatic neoplasm arising from teratoma
90840/3,Synonym,0,Somatic-type tumour derived from teratoma,,,,,,Somatic-type tumour derived from teratoma
90840/3,Synonym,0,Teratoma with secondary malignant component,,,,,,Teratoma with secondary malignant component
90840/3,Synonym,0,Germ cell tumour with somatic-type solid malignancy,,,,,,Germ cell tumour with somatic-type solid malignancy
90841/3,Preferred,1,Mature teratoma with somatic type malignancy,,,,,,Mature teratoma with somatic type malignancy
90841/3,Synonym,0,Dermoid cyst with malignant transformation,C56.9,,,,,Dermoid cyst with malignant transformation (C56.9)
90841/3,Synonym,0,Dermoid cyst with secondary tumour,,,,,,Dermoid cyst with secondary tumour
90842/3,Preferred,1,Immature teratoma with somatic type malignancy,,,,,,Immature teratoma with somatic type malignancy
90843/3,Preferred,1,"Teratoma with carcinoid (neuroendocrine tumour), NOS",C62._,,,(except of ovary M-90910/1),,"Teratoma with carcinoid (neuroendocrine tumour), NOS (C62._) (except of ovary M-90910/1)"
90843/3,Synonym,0,"Well-differentiated neuroendocrine tumour (monodermal teratoma), NOS",C62._,,,(except of ovary M-90910/1),,"Well-differentiated neuroendocrine tumour (monodermal teratoma), NOS (C62._) (except of ovary M-90910/1)"
90843/3,Related,0,"Testicular neuroendocrine tumour, prepubertal-type",C62._,,,,,"Testicular neuroendocrine tumour, prepubertal-type (C62._)"
90850/3,Preferred,1,"Mixed germ cell tumour, NOS",,,,,,"Mixed germ cell tumour, NOS"
90851/3,Preferred,1,Mixed teratoma and seminoma,,,,,,Mixed teratoma and seminoma
90851/3,Synonym,0,Mixed germinoma and teratoma,,,,,,Mixed germinoma and teratoma
90852/3,Preferred,1,"Mixed teratoma-yolk sac tumour, NOS",,,,,,"Mixed teratoma-yolk sac tumour, NOS"
90853/3,Preferred,1,"Mixed teratoma-yolk sac tumour, prepubertal-type",,,,,,"Mixed teratoma-yolk sac tumour, prepubertal-type"
90854/3,Preferred,1,Diffuse embryoma,,,,,,Diffuse embryoma
90855/3,Preferred,1,Mixed germ cell tumour consisting of germinoma or teratoma with a small portion of malignant element,,,,,,Mixed germ cell tumour consisting of germinoma or teratoma with a small portion of malignant element
90856/3,Preferred,1,"Mixed tumour consisting mainly of choriocarcinoma, embryonal carcinoma, or yolk sac tumour",,,,,,"Mixed tumour consisting mainly of choriocarcinoma, embryonal carcinoma, or yolk sac tumour"
90860/3,Preferred,1,Germ cell tumour with associated haematological malignancy,,,,,,Germ cell tumour with associated haematological malignancy
90900/0,Preferred,1,"Struma ovarii, NOS",C56.9,,,,,"Struma ovarii, NOS (C56.9)"
90900/3,Preferred,1,Thyroid carcinoma arising in struma ovarii,C56.9,,,,,Thyroid carcinoma arising in struma ovarii (C56.9)
90900/3,Synonym,0,"Struma ovarii, malignant",C56.9,,,,,"Struma ovarii, malignant (C56.9)"
90900/3,Synonym,0,Proliferative struma ovarii,C56.9,,,,,Proliferative struma ovarii (C56.9)
90910/1,Preferred,1,Ovarian carcinoid,C56.9,,,,,Ovarian carcinoid (C56.9)
90910/1,Synonym,0,Ovarian neuroendocrine tumour,C56.9,,,,,Ovarian neuroendocrine tumour (C56.9)
90910/1,Related,0,Teratoma with carcinoid (neuroendocrine tumour) of ovary,C56.9,,,,,Teratoma with carcinoid (neuroendocrine tumour) of ovary (C56.9)
90910/1,Synonym,0,Well-differentiated neuroendocrine tumour (monodermal teratoma) of ovary,C56.9,,,,,Well-differentiated neuroendocrine tumour (monodermal teratoma) of ovary (C56.9)
90910/1,Related,0,Strumal carcinoid,C56.9,,,,,Strumal carcinoid (C56.9)
90910/1,Synonym,0,Struma ovarii and carcinoid,C56.9,,,,,Struma ovarii and carcinoid (C56.9)
91000/0,Preferred,1,"Hydatidiform mole, NOS",C58.9,,,,,"Hydatidiform mole, NOS (C58.9)"
91000/0,Synonym,0,Hydatid mole,C58.9,,,,,Hydatid mole (C58.9)
91001/0,Preferred,1,Complete hydatidiform mole,C58.9,,,,,Complete hydatidiform mole (C58.9)
91001/0,Synonym,0,Complete molar pregnancy,C58.9,,,,,Complete molar pregnancy (C58.9)
91001/0,Synonym,0,Complete mole,C58.9,,,,,Complete mole (C58.9)
91000/1,Preferred,1,Invasive hydatidiform mole,C58.9,,,,,Invasive hydatidiform mole (C58.9)
91000/1,Synonym,0,"Invasive mole, NOS",C58.9,,,,,"Invasive mole, NOS (C58.9)"
91000/1,Synonym,0,"Chorioadenoma, NOS",C58.9,,,,,"Chorioadenoma, NOS (C58.9)"
91000/1,Synonym,0,Chorioadenoma destruens,C58.9,,,,,Chorioadenoma destruens (C58.9)
91000/1,Synonym,0,Malignant hydatidiform mole,C58.9,,,,,Malignant hydatidiform mole (C58.9)
91000/3,Preferred,1,"Choriocarcinoma, NOS",,,,,,"Choriocarcinoma, NOS"
91000/3,Synonym,0,Chorioepithelioma,,,,,,Chorioepithelioma
91000/3,Synonym,0,Chorionepithelioma,,,,,,Chorionepithelioma
91001/3,Preferred,1,Gestational choriocarcinoma,,,,,,Gestational choriocarcinoma
91002/3,Preferred,1,Non-gestational choriocarcinoma,,,,,,Non-gestational choriocarcinoma
91010/3,Preferred,1,Choriocarcinoma combined with other germ cell elements,,,,,,Choriocarcinoma combined with other germ cell elements
91011/3,Preferred,1,Choriocarcinoma combined with embryonal carcinoma,,,,,,Choriocarcinoma combined with embryonal carcinoma
91012/3,Preferred,1,Choriocarcinoma combined with teratoma,,,,,,Choriocarcinoma combined with teratoma
91013/3,Preferred,1,Mixed trophoblastic tumour,,,,,,Mixed trophoblastic tumour
91020/3,Preferred,1,"Malignant teratoma, trophoblastic",,[obs],(See also M-91000/3-M91012/3),,,"Malignant teratoma, trophoblastic [obs] (See also M-91000/3-M91012/3)"
91030/0,Preferred,1,Partial hydatidiform mole,C58.9,,,,,Partial hydatidiform mole (C58.9)
91030/0,Synonym,0,Partial molar pregnancy,C58.9,,,,,Partial molar pregnancy (C58.9)
91030/0,Synonym,0,Partial mole,C58.9,,,,,Partial mole (C58.9)
91040/1,Preferred,1,"Placental site trophoblastic tumour, NOS",C58.9,,,(except of testis M-91040/3),,"Placental site trophoblastic tumour, NOS (C58.9) (except of testis M-91040/3)"
91040/3,Preferred,1,"Placental site trophoblastic tumour, malignant",C58.9,,,,,"Placental site trophoblastic tumour, malignant (C58.9)"
91040/3,Related,0,Placental site trophoblastic tumour of testis,C62._,,,,,Placental site trophoblastic tumour of testis (C62._)
91050/3,Preferred,1,"Trophoblastic tumour, epithelioid",,,,,,"Trophoblastic tumour, epithelioid"
91100/0,Preferred,1,Adenoma of rete ovarii,C56.9,,,,,Adenoma of rete ovarii (C56.9)
91100/0,Synonym,0,Cystadenoma of rete ovarii,C56.9,,,,,Cystadenoma of rete ovarii (C56.9)
91101/0,Preferred,1,"Mesonephroma, benign",,,,,,"Mesonephroma, benign"
91101/0,Synonym,0,Mesonephric adenoma,,,,,,Mesonephric adenoma
91101/0,Synonym,0,Wolffian duct adenoma,,,,,,Wolffian duct adenoma
91100/1,Preferred,1,Wolffian tumour,"C56.9, C57._",,,,,"Wolffian tumour (C56.9, C57._)"
91100/1,Synonym,0,Wolffian duct tumour,"C56.9, C57._",,,,,"Wolffian duct tumour (C56.9, C57._)"
91100/1,Synonym,0,Wolffian adnexal tumour,"C56.9, C57._",,,,,"Wolffian adnexal tumour (C56.9, C57._)"
91100/1,Synonym,0,"Wolffian adenoma, NOS","C56.9, C57._",,,,,"Wolffian adenoma, NOS (C56.9, C57._)"
91100/1,Synonym,0,"Wolffian adenoma, retiform","C56.9, C57._",,,,,"Wolffian adenoma, retiform (C56.9, C57._)"
91100/1,Synonym,0,Female adnexal tumour of probable Wolffian origin,"C56.9, C57._",,,,,"Female adnexal tumour of probable Wolffian origin (C56.9, C57._)"
91100/1,Synonym,0,Mesonephric tumour,,,,,,Mesonephric tumour
91100/3,Preferred,1,Adenocarcinoma of rete ovarii,C56.9,,,,,Adenocarcinoma of rete ovarii (C56.9)
91101/3,Preferred,1,Mesonephric adenocarcinoma,,,,,,Mesonephric adenocarcinoma
91101/3,Synonym,0,"Mesonephroma, malignant",,,,,,"Mesonephroma, malignant"
91101/3,Synonym,0,"Mesonephroma, NOS",,,,,,"Mesonephroma, NOS"
91101/3,Synonym,0,"Adenocarcinoma, HPV-independent, mesonephric type",,,,,,"Adenocarcinoma, HPV-independent, mesonephric type"
91101/3,Synonym,0,Wolffian duct carcinoma,,,,,,Wolffian duct carcinoma
91110/3,Preferred,1,Mesonephric-like adenocarcinoma,,,,,,Mesonephric-like adenocarcinoma
91110/3,Synonym,0,Mesonephric-like carcinoma,,,,,,Mesonephric-like carcinoma
91200/0,Preferred,1,"Haemangioma, NOS",,,,,,"Haemangioma, NOS"
91200/0,Synonym,0,"Angioma, NOS",,,,,,"Angioma, NOS"
91200/0,Synonym,0,Chorioangioma,C58.9,,,,,Chorioangioma (C58.9)
91200/0,Related,0,Synovial haemangioma,C49._,,,,,Synovial haemangioma (C49._)
91200/0,Related,0,Haemangioma of bone,"C40._, C41._",,,,,"Haemangioma of bone (C40._, C41._)"
91200/0,Synonym,0,Gorham-Stout syndrome,"C40._, C41._",,,,,"Gorham-Stout syndrome (C40._, C41._)"
91200/0,Synonym,0,Massive osteolysis,"C40._, C41._",,,,,"Massive osteolysis (C40._, C41._)"
91200/0,Synonym,0,Cystic angiomatosis,"C40._, C41._",,,,,"Cystic angiomatosis (C40._, C41._)"
91201/0,Preferred,1,Cherry haemangioma,,,,,,Cherry haemangioma
91202/0,Preferred,1,Sinusoidal haemangioma,,,,,,Sinusoidal haemangioma
91202/0,Synonym,0,Sinusoidal venous malformation,,,,,,Sinusoidal venous malformation
91203/0,Preferred,1,Microvenular haemangioma,,,,,,Microvenular haemangioma
91204/0,Preferred,1,Glomeruloid haemangioma,,,,,,Glomeruloid haemangioma
91205/0,Preferred,1,Spindle cell haemangioma,,,,,,Spindle cell haemangioma
91206/0,Preferred,1,Hobnail haemangioma,,,,,,Hobnail haemangioma
91207/0,Preferred,1,Littoral cell angioma,C42.2,,,,,Littoral cell angioma (C42.2)
91208/0,Preferred,1,Papillary haemangioma,,,,,,Papillary haemangioma
91209/0,Preferred,1,Poikilodermatous plaque-like haemangioma ,,,,,,Poikilodermatous plaque-like haemangioma 
9120A/0,Preferred,1,Acquired elastotic haemangioma,,,,,,Acquired elastotic haemangioma
9120B/0,Preferred,1,Perilobular haemangioma,,,,,,Perilobular haemangioma
9120C/0,Preferred,1,"Angiomatosis, NOS",,,,,,"Angiomatosis, NOS"
9120D/0,Preferred,1,"Haemangioma, anastomosing ",,,,,,"Haemangioma, anastomosing "
9120D/0,Related,0,Hepatic small vessel neoplasm,C22.0,,,,,Hepatic small vessel neoplasm (C22.0)
91200/3,Preferred,1,"Angiosarcoma, NOS",,,,,,"Angiosarcoma, NOS"
91200/3,Synonym,0,Haemangiosarcoma,,,,,,Haemangiosarcoma
9120E/3,Preferred,1,Postradiation angiosarcoma,,,,,,Postradiation angiosarcoma
9120E/3,Synonym,0,"Angiosarcoma, secondary",,,,,,"Angiosarcoma, secondary"
9120E/3,Related,0,Postradiation haemangiosarcoma,,,,,,Postradiation haemangiosarcoma
9120E/3,Related,0,Postradiation lympangiosarcoma,,,,,,Postradiation lympangiosarcoma
9120F/3,Preferred,1,Epithelioid angiosarcoma,,,,,,Epithelioid angiosarcoma
9120G/3,Preferred,1,"Angiosarcoma, primary",,,,,,"Angiosarcoma, primary"
9120H/3,Preferred,1,"Angiosarcoma, lymphoedema-associated",,,,,,"Angiosarcoma, lymphoedema-associated"
91210/0,Preferred,1,Cavernous haemangioma,,,,,,Cavernous haemangioma
91210/0,Synonym,0,Cavernous malformation,,,,,,Cavernous malformation
91210/0,Synonym,0,Cavernous vascular malformation,,,,,,Cavernous vascular malformation
91210/0,Synonym,0,Cavernoma,,,,,,Cavernoma
91210/0,Synonym,0,Cavernous angioma,,,,,,Cavernous angioma
91220/0,Preferred,1,Venous haemangioma,,,,,,Venous haemangioma
91220/0,Synonym,0,Venous malformation,,,,,,Venous malformation
91230/0,Preferred,1,"Arteriovenous malformation, NOS",,,,,,"Arteriovenous malformation, NOS"
91230/0,Synonym,0,Arteriovenous haemangioma,,,,,,Arteriovenous haemangioma
91231/0,Preferred,1,"Arteriovenous malformation, deep-seated",C49._,,,,,"Arteriovenous malformation, deep-seated (C49._)"
91232/0,Preferred,1,"Arteriovenous malformation, cutaneous",C44._,,,,,"Arteriovenous malformation, cutaneous (C44._)"
91233/0,Preferred,1,Angiodysplasia,C18._,,,,,Angiodysplasia (C18._)
91234/0,Preferred,1,Racemose haemangioma,,,,,,Racemose haemangioma
91240/3,Preferred,1,Kupffer cell sarcoma,C22.0,,,,,Kupffer cell sarcoma (C22.0)
91250/0,Preferred,1,"Epithelioid haemangioma, NOS",,,,,,"Epithelioid haemangioma, NOS"
91250/0,Synonym,0,Histiocytoid haemangioma,,,,,,Histiocytoid haemangioma
91251/0,Preferred,1,Cutaneous epithelioid angiomatous nodule,C44._,,,,,Cutaneous epithelioid angiomatous nodule (C44._)
91251/0,Synonym,0,Cutaneous epithelioid angiomatoid nodule,C44._,,,,,Cutaneous epithelioid angiomatoid nodule (C44._)
91252/0,Preferred,1,Sclerosing angiomatoid nodular transformation (SANT) of spleen,C42.2,,,,,Sclerosing angiomatoid nodular transformation (SANT) of spleen (C42.2)
91253/0,Preferred,1,"Epithelioid haemangioma, cellular",,,,,,"Epithelioid haemangioma, cellular"
91254/0,Preferred,1,"Epithelioid haemangioma, atypical",,,,,,"Epithelioid haemangioma, atypical"
91255/0,Preferred,1,"Epithelioid haemangioma, intravascular",,,,,,"Epithelioid haemangioma, intravascular"
91260/0,Preferred,1,Atypical vascular lesion,,,,,,Atypical vascular lesion
91260/0,Synonym,0,Atypical vascular proliferation ,,,,,,Atypical vascular proliferation 
91261/0,Preferred,1,Postradiation atypical vascular lesion,,,,,,Postradiation atypical vascular lesion
91262/0,Preferred,1,"Lymphatic atypical vascular lesion, resembling lymphangioma",,,,,,"Lymphatic atypical vascular lesion, resembling lymphangioma"
91263/0,Preferred,1,"Vascular atypical vascular lesion, resembling haemangioma or hobnail haemangioma",,,,,,"Vascular atypical vascular lesion, resembling haemangioma or hobnail haemangioma"
91300/0,Preferred,1,"Haemangioendothelioma, benign",,[obs],,,,"Haemangioendothelioma, benign [obs]"
91300/1,Preferred,1,"Haemangioendothelioma, NOS",,,,,,"Haemangioendothelioma, NOS"
91300/1,Synonym,0,Angioendothelioma,,,,,,Angioendothelioma
91301/1,Preferred,1,Kaposiform haemangioendothelioma,,,,,,Kaposiform haemangioendothelioma
91300/3,Preferred,1,"Haemangioendothelioma, malignant",,,,,,"Haemangioendothelioma, malignant"
91300/3,Synonym,0,Haemangioendothelial sarcoma,,,,,,Haemangioendothelial sarcoma
91310/0,Preferred,1,Capillary haemangioma,,,,,,Capillary haemangioma
91310/0,Synonym,0,Haemangioma simplex,,,,,,Haemangioma simplex
91311/0,Preferred,1,Lobular capillary haemangioma,,,,,,Lobular capillary haemangioma
91311/0,Synonym,0,Pyogenic granuloma,,,,,,Pyogenic granuloma
91311/0,Synonym,0,Lobular capillary haemangioma/pyogenic granuloma,,,,,,Lobular capillary haemangioma/pyogenic granuloma
91312/0,Preferred,1,"Congenital haemangioma, NOS",,,,,,"Congenital haemangioma, NOS"
91313/0,Preferred,1,"Congenital haemangioma, rapidly involuting, NOS",,,,,,"Congenital haemangioma, rapidly involuting, NOS"
91314/0,Preferred,1,"Congenital haemangioma, non-involuting",,,,,,"Congenital haemangioma, non-involuting"
91315/0,Preferred,1,"Congenital haemangioma, partially involuting",,,,,,"Congenital haemangioma, partially involuting"
91316/0,Preferred,1,Rapidly involuting congenital haemangioma with fetal involution,,,,,,Rapidly involuting congenital haemangioma with fetal involution
91317/0,Preferred,1,Infantile haemangioma,,,,,,Infantile haemangioma
91317/0,Synonym,0,Juvenile haemangioma,,,,,,Juvenile haemangioma
91317/0,Related,0,Hepatic infantile haemangioma,C22.0,,,,,Hepatic infantile haemangioma (C22.0)
91317/0,Synonym,0,Hepatic infantile haemangioendothelioma,C22.0,,,,,Hepatic infantile haemangioendothelioma (C22.0)
91318/0,Preferred,1,Reticular infantile haemangioma,,,,,,Reticular infantile haemangioma
91319/0,Preferred,1,Single infantile haemangioma,,,,,,Single infantile haemangioma
9131A/0,Preferred,1,Multifocal infantile haemangioma,,,,,,Multifocal infantile haemangioma
9131B/0,Preferred,1,Diffuse infantile haemangioma,,,,,,Diffuse infantile haemangioma
9131C/0,Preferred,1,Disseminated lobular capillary haemangioma,,,,,,Disseminated lobular capillary haemangioma
9131D/0,Preferred,1,Subcutaneous lobular capillary haemangioma,,,,,,Subcutaneous lobular capillary haemangioma
9131E/0,Preferred,1,Intravascular lobular capillary haemangioma,,,,,,Intravascular lobular capillary haemangioma
