code,level,preferred,term,codeReference,obs,seeAlso,excludes,other,description
80700/2,Synonym,0,"Intraepidermal squamous cell carcinoma, Bowen type",C44._,,,,,"Intraepidermal squamous cell carcinoma, Bowen type (C44._)"
80700/2,Synonym,0,Bowenoid papulosis,,,,,,Bowenoid papulosis
80700/2,Related,0,Actinic keratosis with high-grade dysplasia,,,,,,Actinic keratosis with high-grade dysplasia
80700/3,Preferred,1,"Squamous cell carcinoma, NOS",,,,,,"Squamous cell carcinoma, NOS"
80700/3,Synonym,0,"Squamous cell carcinoma, usual type",,,,,,"Squamous cell carcinoma, usual type"
80700/3,Synonym,0,"Epidermoid carcinoma, NOS",,,,,,"Epidermoid carcinoma, NOS"
80700/3,Synonym,0,"Squamous carcinoma, NOS",,,,,,"Squamous carcinoma, NOS"
80700/3,Synonym,0,Squamous cell epithelioma,,[obs],,,,Squamous cell epithelioma [obs]
80707/3,Preferred,1,Hybrid verrucous carcinoma,,,,,,Hybrid verrucous carcinoma
80708/3,Preferred,1,Nasopharyngeal carcinoma,C11._,,,,,Nasopharyngeal carcinoma (C11._)
80700/6,Preferred,1,"Squamous cell carcinoma, metastatic, NOS",,,,,,"Squamous cell carcinoma, metastatic, NOS"
80710/1,Preferred,1,"Keratoacanthoma, NOS",,,,,,"Keratoacanthoma, NOS"
80711/1,Preferred,1,"Keratoacanthoma, subungual","C44.6, C44.7",,,,,"Keratoacanthoma, subungual (C44.6, C44.7)"
80712/1,Preferred,1,Subungual tumour of incontinentia pigmenti,,,,,,Subungual tumour of incontinentia pigmenti
80710/2,Preferred,1,Differentiated intraepithelial neoplasia,,,,,,Differentiated intraepithelial neoplasia
80710/2,Related,0,Differentiated penile intraepithelial neoplasia (PeIN),C60._,,,,,Differentiated penile intraepithelial neoplasia (PeIN) (C60._)
80710/2,Related,0,Differentiated vulvar intraepithelial neoplasia (VIN),C51._,,,,,Differentiated vulvar intraepithelial neoplasia (VIN) (C51._)
80710/2,Synonym,0,"Vulvar intraepithelial neoplasia, HPV-independent",C51._,,,,,"Vulvar intraepithelial neoplasia, HPV-independent (C51._)"
80710/2,Related,0,Differentiated exophytic vulvar intraepithelial lesion,C51._,,,,,Differentiated exophytic vulvar intraepithelial lesion (C51._)
80710/2,Related,0,Vulvar acanthosis with altered differentiation,C51._,,,,,Vulvar acanthosis with altered differentiation (C51._)
80710/3,Preferred,1,"Squamous cell carcinoma, keratinizing, NOS",,,,,,"Squamous cell carcinoma, keratinizing, NOS"
80710/3,Synonym,0,"Epidermoid carcinoma, keratinizing",,,,,,"Epidermoid carcinoma, keratinizing"
80710/3,Synonym,0,"Squamous cell carcinoma, large cell, keratinizing",,,,,,"Squamous cell carcinoma, large cell, keratinizing"
80720/0,Preferred,1,Large cell acanthoma,,,,,,Large cell acanthoma
80720/3,Preferred,1,"Squamous cell carcinoma, non-keratinizing, NOS",,,,,,"Squamous cell carcinoma, non-keratinizing, NOS"
80720/3,Related,0,"Transitional cell carcinoma of head and neck, NOS","C30.0, C31._",,,,,"Transitional cell carcinoma of head and neck, NOS (C30.0, C31._)"
80720/3,Synonym,0,Schneiderian carcinoma,"C30.0, C31._",[obs],,,,"Schneiderian carcinoma (C30.0, C31._) [obs]"
80720/3,Synonym,0,Cylindrical cell carcinoma,"C30.0, C31._",,,,,"Cylindrical cell carcinoma (C30.0, C31._)"
80721/3,Preferred,1,"Squamous cell carcinoma, large cell, non-keratinizing, NOS",,,,,,"Squamous cell carcinoma, large cell, non-keratinizing, NOS"
80721/3,Synonym,0,"Epidermoid carcinoma, large cell, non-keratinizing",,,,,,"Epidermoid carcinoma, large cell, non-keratinizing"
80722/3,Preferred,1,DEK::AFF2 squamous cell carcinoma,,,,,,DEK::AFF2 squamous cell carcinoma
80722/3,Synonym,0,DEK::AFF2 squamous carcinoma,,,,,,DEK::AFF2 squamous carcinoma
80730/3,Preferred,1,"Squamous cell carcinoma, small cell, non-keratinizing",,,,,,"Squamous cell carcinoma, small cell, non-keratinizing"
80730/3,Synonym,0,"Epidermoid carcinoma, small cell, non-keratinizing",,,,,,"Epidermoid carcinoma, small cell, non-keratinizing"
80740/3,Preferred,1,"Squamous cell carcinoma, spindle cell",,,,,,"Squamous cell carcinoma, spindle cell"
80740/3,Synonym,0,"Epidermoid carcinoma, spindle cell",,,,,,"Epidermoid carcinoma, spindle cell"
80740/3,Synonym,0,Squamous cell carcinoma with a spindle cell component,,,,,,Squamous cell carcinoma with a spindle cell component
80741/3,Preferred,1,"Squamous cell carcinoma, sarcomatoid",,,,,,"Squamous cell carcinoma, sarcomatoid"
80741/3,Synonym,0,Squamous cell carcinoma with sarcomatoid differentiation,,,,,,Squamous cell carcinoma with sarcomatoid differentiation
80741/3,Synonym,0,"Squamous cell carcinoma, pseudosarcomatous",,,,,,"Squamous cell carcinoma, pseudosarcomatous"
80742/3,Preferred,1,Pseudovascular squamous cell carcinoma,,,,,,Pseudovascular squamous cell carcinoma
80750/3,Preferred,1,"Squamous cell carcinoma, acantholytic",,,,,,"Squamous cell carcinoma, acantholytic"
