icd10_code,icd10_desc,icdo4_code,icdo4_desc
C44.61,"Basal cell carcinoma of skin of upper limb, including shoulder",80230/3,"Carcinoma, NUT adnexal"
C44.611,"Basal cell carcinoma of skin of unspecified upper limb, including shoulder",80230/3,"Carcinoma, NUT adnexal"
C44.612,"Basal cell carcinoma of skin of right upper limb, including shoulder",80230/3,"Carcinoma, NUT adnexal"
C44.619,"Basal cell carcinoma of skin of left upper limb, including shoulder",80230/3,"Carcinoma, NUT adnexal"
C44.62,"Squamous cell carcinoma of skin of upper limb, including shoulder",80230/3,"Carcinoma, NUT adnexal"
C44.621,"Squamous cell carcinoma of skin of unspecified upper limb, including shoulder",80230/3,"Carcinoma, NUT adnexal"
C44.622,"Squamous cell carcinoma of skin of right upper limb, including shoulder",80230/3,"Carcinoma, NUT adnexal"
C44.629,"Squamous cell carcinoma of skin of left upper limb, including shoulder",80230/3,"Carcinoma, NUT adnexal"
C44.69,"Other specified malignant neoplasm of skin of upper limb, including shoulder",80230/3,"Carcinoma, NUT adnexal"
C44.691,"Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder",80230/3,"Carcinoma, NUT adnexal"
C44.692,"Other specified malignant neoplasm of skin of right upper limb, including shoulder",80230/3,"Carcinoma, NUT adnexal"
C44.699,"Other specified malignant neoplasm of skin of left upper limb, including shoulder",80230/3,"Carcinoma, NUT adnexal"
C44.7,"Other and unspecified malignant neoplasm of skin of lower limb, including hip",80230/3,"Carcinoma, NUT adnexal"
C44.70,"Unspecified malignant neoplasm of skin of lower limb, including hip",80230/3,"Carcinoma, NUT adnexal"
C44.701,"Unspecified malignant neoplasm of skin of unspecified lower limb, including hip",80230/3,"Carcinoma, NUT adnexal"
C44.702,"Unspecified malignant neoplasm of skin of right lower limb, including hip",80230/3,"Carcinoma, NUT adnexal"
C44.709,"Unspecified malignant neoplasm of skin of left lower limb, including hip",80230/3,"Carcinoma, NUT adnexal"
C44.71,"Basal cell carcinoma of skin of lower limb, including hip",80230/3,"Carcinoma, NUT adnexal"
C44.711,"Basal cell carcinoma of skin of unspecified lower limb, including hip",80230/3,"Carcinoma, NUT adnexal"
C44.712,"Basal cell carcinoma of skin of right lower limb, including hip",80230/3,"Carcinoma, NUT adnexal"
C44.719,"Basal cell carcinoma of skin of left lower limb, including hip",80230/3,"Carcinoma, NUT adnexal"
C44.72,"Squamous cell carcinoma of skin of lower limb, including hip",80230/3,"Carcinoma, NUT adnexal"
C44.721,"Squamous cell carcinoma of skin of unspecified lower limb, including hip",80230/3,"Carcinoma, NUT adnexal"
C44.722,"Squamous cell carcinoma of skin of right lower limb, including hip",80230/3,"Carcinoma, NUT adnexal"
C44.729,"Squamous cell carcinoma of skin of left lower limb, including hip",80230/3,"Carcinoma, NUT adnexal"
C44.79,"Other specified malignant neoplasm of skin of lower limb, including hip",80230/3,"Carcinoma, NUT adnexal"
C44.791,"Other specified malignant neoplasm of skin of unspecified lower limb, including hip",80230/3,"Carcinoma, NUT adnexal"
C44.792,"Other specified malignant neoplasm of skin of right lower limb, including hip",80230/3,"Carcinoma, NUT adnexal"
C44.799,"Other specified malignant neoplasm of skin of left lower limb, including hip",80230/3,"Carcinoma, NUT adnexal"
C44.8,Other and unspecified malignant neoplasm of overlapping sites of skin,80230/3,"Carcinoma, NUT adnexal"
C44.80,Unspecified malignant neoplasm of overlapping sites of skin,80230/3,"Carcinoma, NUT adnexal"
